source,strategy,src_codec,src_pix,res,fps,src_dur_s,out_codec,out_pix,container,gop_frames,elapsed_s,realtime_x,enc_fps,cpu_pct,gpu_pct,src_mb,out_mb,size_x,out_mbps,seek_med_ms,seek_p95_ms,seek_max_ms,spawn_ms,status
bbb_4k60_vp9,av1_nvenc_g500ms,vp9,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,12.43,5.31,318.8,36.8,95.5,123.3,186.8,1.514,22.63,111.8,184.1,214.2,63.2,ok
bbb_4k60_vp9,av1_nvenc_g1000ms,vp9,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,60,8.01,8.24,494.6,37.6,92.8,123.3,169.8,1.377,20.57,144.7,266.7,364.6,59.8,ok
bbb_4k60_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,28.44,2.32,139.3,26.6,85.9,123.3,189.7,1.538,22.99,183.2,294.0,349.7,66.5,ok
bbb_4k60_vp9,svtav1_p12_g500ms,vp9,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,45.48,1.45,87.1,82.0,77.0,123.3,85.9,0.696,10.4,105.4,160.5,193.0,70.6,ok
bbb_4k60_vp9,vp9_rt_g500ms,vp9,yuv420p,3840x2160,60.0,66.03,vp9,yuv420p,mkv,30,26.44,2.5,149.8,73.5,77.5,123.3,129.6,1.051,15.7,169.7,238.7,279.5,111.6,ok
factorio_1440p60_vp9,remux_mp4,vp9,yuv420p,2560x1440,59.739,64.14,vp9,yuv420p,mp4,-,0.11,579.07,34593.6,-1,-1,66.8,66.9,1.001,8.34,339.9,505.4,1258.4,120.9,ok
factorio_1440p60_vp9,mpeg4_g250ms,vp9,yuv420p,2560x1440,59.739,64.14,mpeg4,yuv420p,mp4,15,6.58,9.74,582.1,67.2,57.1,66.8,223.6,3.347,27.88,78.5,91.7,98.3,64.7,ok
factorio_1440p60_vp9,mpeg4_g500ms,vp9,yuv420p,2560x1440,59.739,64.14,mpeg4,yuv420p,mp4,30,6.52,9.84,588.1,63.7,83.0,66.8,166.6,2.494,20.78,82.1,102.1,127.1,67.1,ok
factorio_1440p60_vp9,mpeg4_g1000ms,vp9,yuv420p,2560x1440,59.739,64.14,mpeg4,yuv420p,mp4,60,6.7,9.57,571.7,69.4,18.4,66.8,138.4,2.072,17.26,82.8,109.5,115.8,64.2,ok
factorio_1440p60_vp9,mpeg4_g500ms_q5,vp9,yuv420p,2560x1440,59.739,64.14,mpeg4,yuv420p,mp4,30,6.36,10.09,602.8,63.3,2.9,66.8,106.4,1.593,13.27,79.2,89.7,109.9,62.4,ok
factorio_1440p60_vp9,av1_nvenc_g500ms,vp9,yuv420p,2560x1440,59.739,64.14,av1,yuv420p,mp4,30,6.67,9.62,574.5,35.3,56.1,66.8,173.7,2.6,21.66,146.5,198.2,229.2,58.0,ok
factorio_1440p60_vp9,av1_nvenc_g1000ms,vp9,yuv420p,2560x1440,59.739,64.14,av1,yuv420p,mp4,60,6.37,10.07,601.5,29.4,59.5,66.8,143.4,2.147,17.89,184.4,313.2,373.1,60.4,ok
factorio_1440p60_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,2560x1440,59.739,64.14,av1,yuv420p,mp4,30,10.21,6.29,375.5,37.2,47.1,66.8,174.2,2.607,21.72,148.5,209.0,253.5,61.2,ok
